After 1 global rounds, Test acc: 82.09, inference loss: 0.00685698322057724
After 2 global rounds, Test acc: 90.89, inference loss: 0.0027499863743782045
After 3 global rounds, Test acc: 94.16, inference loss: 0.0016582745969295502
After 4 global rounds, Test acc: 95.22, inference loss: 0.00126475299927406
After 5 global rounds, Test acc: 95.83, inference loss: 0.001089064046065323
After 6 global rounds, Test acc: 96.12, inference loss: 0.0009929687693016605
After 7 global rounds, Test acc: 96.48, inference loss: 0.0008847882120287977
After 8 global rounds, Test acc: 96.69, inference loss: 0.0008570875583216548
After 9 global rounds, Test acc: 96.81, inference loss: 0.0008287417854531668
After 10 global rounds, Test acc: 97.02, inference loss: 0.0007576326039852575
After 11 global rounds, Test acc: 97.17, inference loss: 0.0007369984711578582
After 12 global rounds, Test acc: 97.24, inference loss: 0.0007008778774223173
After 13 global rounds, Test acc: 97.5, inference loss: 0.0006639119972998742
After 14 global rounds, Test acc: 97.56, inference loss: 0.0006358572922632447
After 15 global rounds, Test acc: 97.5, inference loss: 0.0006577398979999998
After 16 global rounds, Test acc: 97.71, inference loss: 0.0006271372466871981
After 17 global rounds, Test acc: 97.78, inference loss: 0.0005948476437053614
After 18 global rounds, Test acc: 97.81, inference loss: 0.0005645153074539848
After 19 global rounds, Test acc: 97.85, inference loss: 0.0005707801147487771
After 20 global rounds, Test acc: 97.86, inference loss: 0.0005627821938665874
After 21 global rounds, Test acc: 97.94, inference loss: 0.0005345686889806529
After 22 global rounds, Test acc: 98.03, inference loss: 0.0005435846096355818
After 23 global rounds, Test acc: 98.15, inference loss: 0.0005103801885408757
After 24 global rounds, Test acc: 98.2, inference loss: 0.0005000682300811604
After 25 global rounds, Test acc: 98.11, inference loss: 0.0005200178773367952
After 26 global rounds, Test acc: 98.21, inference loss: 0.0004935627935854427
After 27 global rounds, Test acc: 98.16, inference loss: 0.0005218153353809612
After 28 global rounds, Test acc: 98.18, inference loss: 0.00048629081470280653
After 29 global rounds, Test acc: 98.23, inference loss: 0.0004730085338786012
After 30 global rounds, Test acc: 98.23, inference loss: 0.0005161195793523802
After 31 global rounds, Test acc: 98.24, inference loss: 0.0004817137755755539
After 32 global rounds, Test acc: 98.28, inference loss: 0.0004918921850563492
After 33 global rounds, Test acc: 98.38, inference loss: 0.0004723233005959628
After 34 global rounds, Test acc: 98.44, inference loss: 0.00044630449084615974
After 35 global rounds, Test acc: 98.38, inference loss: 0.0004639061730442336
After 36 global rounds, Test acc: 98.41, inference loss: 0.00044077096142627854
After 37 global rounds, Test acc: 98.45, inference loss: 0.0004247638938570162
After 38 global rounds, Test acc: 98.35, inference loss: 0.00046768343067906244
After 39 global rounds, Test acc: 98.47, inference loss: 0.000443096127464014
After 40 global rounds, Test acc: 98.43, inference loss: 0.0004406463441707274
After 41 global rounds, Test acc: 98.4, inference loss: 0.0004224687514059042
After 42 global rounds, Test acc: 98.47, inference loss: 0.00043090661603273475
After 43 global rounds, Test acc: 98.43, inference loss: 0.0004446706223938236
After 44 global rounds, Test acc: 98.44, inference loss: 0.0004306736180765256
After 45 global rounds, Test acc: 98.45, inference loss: 0.0004066861269389847
After 46 global rounds, Test acc: 98.46, inference loss: 0.00042598528937505764
After 47 global rounds, Test acc: 98.44, inference loss: 0.0004317085332707393
After 48 global rounds, Test acc: 98.54, inference loss: 0.0004192073124258059
After 49 global rounds, Test acc: 98.55, inference loss: 0.00040195790800066786
After 50 global rounds, Test acc: 98.56, inference loss: 0.00041296186172739906
After 51 global rounds, Test acc: 98.55, inference loss: 0.00040680173748451127
After 52 global rounds, Test acc: 98.5, inference loss: 0.00037981808755371273
After 53 global rounds, Test acc: 98.59, inference loss: 0.00039215336758798003
After 54 global rounds, Test acc: 98.58, inference loss: 0.00038898398978017213
After 55 global rounds, Test acc: 98.6, inference loss: 0.0003804143676820786
After 56 global rounds, Test acc: 98.68, inference loss: 0.00039464304138737136
After 57 global rounds, Test acc: 98.68, inference loss: 0.00037987190139278934
After 58 global rounds, Test acc: 98.67, inference loss: 0.00038085989229446113
After 59 global rounds, Test acc: 98.66, inference loss: 0.00038676866974956284
After 60 global rounds, Test acc: 98.63, inference loss: 0.0003922417085318557
After 61 global rounds, Test acc: 98.51, inference loss: 0.0004131152865488957
After 62 global rounds, Test acc: 98.68, inference loss: 0.00037658217575826713
After 63 global rounds, Test acc: 98.63, inference loss: 0.00040457281324834184
After 64 global rounds, Test acc: 98.7, inference loss: 0.0003625728873933895
After 65 global rounds, Test acc: 98.61, inference loss: 0.0003786834317031207
After 66 global rounds, Test acc: 98.6, inference loss: 0.00039557748125271247
After 67 global rounds, Test acc: 98.67, inference loss: 0.0003820577457761829
After 68 global rounds, Test acc: 98.7, inference loss: 0.0003667276111682668
After 69 global rounds, Test acc: 98.61, inference loss: 0.0003620059149217923
After 70 global rounds, Test acc: 98.7, inference loss: 0.0003724995310162285
After 71 global rounds, Test acc: 98.77, inference loss: 0.0003520182343248507
After 72 global rounds, Test acc: 98.64, inference loss: 0.00038711138243256753
After 73 global rounds, Test acc: 98.7, inference loss: 0.00037683188733103634
After 74 global rounds, Test acc: 98.64, inference loss: 0.00036755148914953677
After 75 global rounds, Test acc: 98.68, inference loss: 0.000353945686491943
After 76 global rounds, Test acc: 98.76, inference loss: 0.000366126164954494
After 77 global rounds, Test acc: 98.68, inference loss: 0.0003668085034948035
After 78 global rounds, Test acc: 98.72, inference loss: 0.000364925971806565
After 79 global rounds, Test acc: 98.78, inference loss: 0.00035429069670319676
After 80 global rounds, Test acc: 98.76, inference loss: 0.0003588191968414094
After 81 global rounds, Test acc: 98.82, inference loss: 0.00036525500760521934
After 82 global rounds, Test acc: 98.84, inference loss: 0.0003499224881323698
After 83 global rounds, Test acc: 98.78, inference loss: 0.00035283685705333025
After 84 global rounds, Test acc: 98.85, inference loss: 0.0003433507352151537
After 85 global rounds, Test acc: 98.77, inference loss: 0.0003575711075185609
After 86 global rounds, Test acc: 98.77, inference loss: 0.00036460684455512366
After 87 global rounds, Test acc: 98.78, inference loss: 0.0003693993543191027
After 88 global rounds, Test acc: 98.79, inference loss: 0.00037010070813397534
After 89 global rounds, Test acc: 98.81, inference loss: 0.0003541031204026922
After 90 global rounds, Test acc: 98.9, inference loss: 0.00032849723383696983
After 91 global rounds, Test acc: 98.91, inference loss: 0.00033616698064539604
After 92 global rounds, Test acc: 98.85, inference loss: 0.0003434782816115103
After 93 global rounds, Test acc: 98.78, inference loss: 0.0003414317520897839
After 94 global rounds, Test acc: 98.81, inference loss: 0.00035495206787014696
After 95 global rounds, Test acc: 98.79, inference loss: 0.00033733985435387695
After 96 global rounds, Test acc: 98.78, inference loss: 0.0003378152210438884
After 97 global rounds, Test acc: 98.87, inference loss: 0.0003386039843583376
After 98 global rounds, Test acc: 98.84, inference loss: 0.0003333862893344758
After 99 global rounds, Test acc: 98.84, inference loss: 0.00032643029316932373
After 100 global rounds, Test acc: 98.86, inference loss: 0.0003280087192683368
After 101 global rounds, Test acc: 98.86, inference loss: 0.00033253214341441437
After 102 global rounds, Test acc: 98.93, inference loss: 0.0003209345732874681
After 103 global rounds, Test acc: 98.95, inference loss: 0.00031275579194959847
After 104 global rounds, Test acc: 98.82, inference loss: 0.0003312184461109837
After 105 global rounds, Test acc: 98.88, inference loss: 0.00031806460937814333
After 106 global rounds, Test acc: 98.88, inference loss: 0.0003196943354522773
After 107 global rounds, Test acc: 98.79, inference loss: 0.00033969298188433187
After 108 global rounds, Test acc: 98.76, inference loss: 0.00034825542327974974
After 109 global rounds, Test acc: 98.86, inference loss: 0.00032367061560285035
After 110 global rounds, Test acc: 98.86, inference loss: 0.00032442823615028827
After 111 global rounds, Test acc: 98.88, inference loss: 0.00033006321324039617
After 112 global rounds, Test acc: 98.79, inference loss: 0.00032278198005110425
After 113 global rounds, Test acc: 98.81, inference loss: 0.00032856775480813666
After 114 global rounds, Test acc: 98.86, inference loss: 0.00032237503650421785
After 115 global rounds, Test acc: 98.79, inference loss: 0.0003402849372626122
After 116 global rounds, Test acc: 98.83, inference loss: 0.00032078907907853136
After 117 global rounds, Test acc: 98.82, inference loss: 0.0003184088512850394
After 118 global rounds, Test acc: 98.88, inference loss: 0.00034360831722298147
After 119 global rounds, Test acc: 98.86, inference loss: 0.00032568891532278033
After 120 global rounds, Test acc: 98.82, inference loss: 0.0003551003431125537
After 121 global rounds, Test acc: 98.88, inference loss: 0.0003343510203209462
After 122 global rounds, Test acc: 98.81, inference loss: 0.0003339782371816568
After 123 global rounds, Test acc: 98.84, inference loss: 0.00035298293197633937
After 124 global rounds, Test acc: 98.78, inference loss: 0.0003492834223533123
After 125 global rounds, Test acc: 98.9, inference loss: 0.00034523246475833956
After 126 global rounds, Test acc: 98.96, inference loss: 0.0003221415020060931
After 127 global rounds, Test acc: 98.97, inference loss: 0.0003064213799669915
After 128 global rounds, Test acc: 99.0, inference loss: 0.0003105756123294213
After 129 global rounds, Test acc: 98.95, inference loss: 0.00031335374823731856
After 130 global rounds, Test acc: 98.9, inference loss: 0.00033150532355300015
After 131 global rounds, Test acc: 98.94, inference loss: 0.00033268103558665416
After 132 global rounds, Test acc: 98.86, inference loss: 0.0003410066061043949
After 133 global rounds, Test acc: 98.93, inference loss: 0.000322255777664418
After 134 global rounds, Test acc: 98.87, inference loss: 0.000343766438370443
After 135 global rounds, Test acc: 98.87, inference loss: 0.0003315392679829131
After 136 global rounds, Test acc: 98.85, inference loss: 0.0003431234453632669
After 137 global rounds, Test acc: 98.8, inference loss: 0.0003293702400005486
After 138 global rounds, Test acc: 98.92, inference loss: 0.0003282886660785948
After 139 global rounds, Test acc: 98.91, inference loss: 0.0003257298985647481
After 140 global rounds, Test acc: 98.86, inference loss: 0.0003299788090340371
After 141 global rounds, Test acc: 98.82, inference loss: 0.00032957953408390496
After 142 global rounds, Test acc: 98.9, inference loss: 0.0003143956071461162
After 143 global rounds, Test acc: 98.81, inference loss: 0.00032723915579867935
After 144 global rounds, Test acc: 98.84, inference loss: 0.00033387501805499367
After 145 global rounds, Test acc: 98.86, inference loss: 0.0003149384941466451
After 146 global rounds, Test acc: 98.83, inference loss: 0.0003153800845733713
After 147 global rounds, Test acc: 98.86, inference loss: 0.0003226459017039133
After 148 global rounds, Test acc: 98.86, inference loss: 0.00032865040692629463
After 149 global rounds, Test acc: 98.91, inference loss: 0.0003265161518641776
After 150 global rounds, Test acc: 98.89, inference loss: 0.000306283549319744
After 151 global rounds, Test acc: 98.91, inference loss: 0.00031659337396426965
After 152 global rounds, Test acc: 98.9, inference loss: 0.0003242048901566022
After 153 global rounds, Test acc: 98.96, inference loss: 0.00030039162671328083
After 154 global rounds, Test acc: 98.93, inference loss: 0.0003052254778182032
After 155 global rounds, Test acc: 98.94, inference loss: 0.000308843343346723
