After 1 global rounds, Test acc: 30.89, inference loss: 0.015211880457401275
After 2 global rounds, Test acc: 39.5, inference loss: 0.013456153678894044
After 3 global rounds, Test acc: 43.27, inference loss: 0.0123523144364357
After 4 global rounds, Test acc: 46.9, inference loss: 0.011704198241233825
After 5 global rounds, Test acc: 49.29, inference loss: 0.011195124220848084
After 6 global rounds, Test acc: 50.67, inference loss: 0.01096501424908638
After 7 global rounds, Test acc: 52.55, inference loss: 0.010833422553539276
After 8 global rounds, Test acc: 53.65, inference loss: 0.010897584384679795
After 9 global rounds, Test acc: 54.47, inference loss: 0.010466955763101578
After 10 global rounds, Test acc: 54.92, inference loss: 0.010729008752107621
After 11 global rounds, Test acc: 55.88, inference loss: 0.010858515310287475
After 12 global rounds, Test acc: 57.14, inference loss: 0.010616690409183503
After 13 global rounds, Test acc: 56.6, inference loss: 0.010791160500049591
After 14 global rounds, Test acc: 57.65, inference loss: 0.010761273753643035
After 15 global rounds, Test acc: 57.52, inference loss: 0.010813521981239319
After 16 global rounds, Test acc: 58.63, inference loss: 0.010798218417167663
After 17 global rounds, Test acc: 59.12, inference loss: 0.010716565716266632
After 18 global rounds, Test acc: 58.54, inference loss: 0.010483993750810622
After 19 global rounds, Test acc: 59.33, inference loss: 0.010785318219661713
After 20 global rounds, Test acc: 59.47, inference loss: 0.010520242834091186
After 21 global rounds, Test acc: 59.88, inference loss: 0.01074968124628067
After 22 global rounds, Test acc: 60.32, inference loss: 0.010574330103397369
After 23 global rounds, Test acc: 60.5, inference loss: 0.010754999589920045
After 24 global rounds, Test acc: 61.01, inference loss: 0.010407087075710296
After 25 global rounds, Test acc: 61.26, inference loss: 0.010337051606178285
After 26 global rounds, Test acc: 61.24, inference loss: 0.010448479998111725
After 27 global rounds, Test acc: 61.35, inference loss: 0.010565292847156524
After 28 global rounds, Test acc: 61.52, inference loss: 0.010497947478294373
After 29 global rounds, Test acc: 61.69, inference loss: 0.010290319448709487
After 30 global rounds, Test acc: 62.43, inference loss: 0.010363869458436967
After 31 global rounds, Test acc: 62.31, inference loss: 0.010383738553524017
After 32 global rounds, Test acc: 62.38, inference loss: 0.010314342868328094
After 33 global rounds, Test acc: 62.55, inference loss: 0.01034562851190567
After 34 global rounds, Test acc: 62.63, inference loss: 0.010392430710792542
After 35 global rounds, Test acc: 62.57, inference loss: 0.010129696834087373
After 36 global rounds, Test acc: 63.14, inference loss: 0.010189978349208833
After 37 global rounds, Test acc: 63.41, inference loss: 0.010089463984966279
After 38 global rounds, Test acc: 63.71, inference loss: 0.010189642524719239
After 39 global rounds, Test acc: 63.28, inference loss: 0.01015755113363266
