After 1 global rounds, Test acc: 10.22, inference loss: 0.020020604610443114
After 2 global rounds, Test acc: 16.66, inference loss: 0.01851783137321472
After 3 global rounds, Test acc: 17.43, inference loss: 0.018604815292358398
After 4 global rounds, Test acc: 21.56, inference loss: 0.018231162738800048
After 5 global rounds, Test acc: 20.06, inference loss: 0.01598458297252655
After 6 global rounds, Test acc: 28.06, inference loss: 0.016546210265159608
After 7 global rounds, Test acc: 22.41, inference loss: 0.01590475435256958
After 8 global rounds, Test acc: 22.86, inference loss: 0.016598408901691435
After 9 global rounds, Test acc: 34.16, inference loss: 0.014653815829753876
After 10 global rounds, Test acc: 19.55, inference loss: 0.02016808111667633
After 11 global rounds, Test acc: 15.51, inference loss: 0.024398450303077697
After 12 global rounds, Test acc: 26.03, inference loss: 0.017055263328552245
After 13 global rounds, Test acc: 28.65, inference loss: 0.014994810211658478
After 14 global rounds, Test acc: 31.0, inference loss: 0.014421603620052337
After 15 global rounds, Test acc: 16.5, inference loss: 0.022102475547790528
After 16 global rounds, Test acc: 20.67, inference loss: 0.020572561836242675
After 17 global rounds, Test acc: 23.3, inference loss: 0.016275136649608613
After 18 global rounds, Test acc: 27.35, inference loss: 0.01639518129825592
After 19 global rounds, Test acc: 29.75, inference loss: 0.016924410820007323
After 20 global rounds, Test acc: 25.07, inference loss: 0.015689965534210204
After 21 global rounds, Test acc: 30.2, inference loss: 0.016401303029060364
After 22 global rounds, Test acc: 40.35, inference loss: 0.01285301833152771
After 23 global rounds, Test acc: 28.3, inference loss: 0.01557947667837143
After 24 global rounds, Test acc: 34.1, inference loss: 0.014545282089710235
After 25 global rounds, Test acc: 30.6, inference loss: 0.015447654294967651
After 26 global rounds, Test acc: 33.12, inference loss: 0.014616505587100983
After 27 global rounds, Test acc: 36.7, inference loss: 0.01456141494512558
After 28 global rounds, Test acc: 31.46, inference loss: 0.0163617689371109
After 29 global rounds, Test acc: 33.55, inference loss: 0.014243149256706238
After 30 global rounds, Test acc: 36.47, inference loss: 0.013327736496925355
After 31 global rounds, Test acc: 37.79, inference loss: 0.013858147644996642
After 32 global rounds, Test acc: 22.61, inference loss: 0.019939589834213258
After 33 global rounds, Test acc: 20.96, inference loss: 0.01957557718753815
After 34 global rounds, Test acc: 29.95, inference loss: 0.016690679061412812
After 35 global rounds, Test acc: 18.72, inference loss: 0.019218869256973265
After 36 global rounds, Test acc: 29.77, inference loss: 0.014953188586235046
After 37 global rounds, Test acc: 45.18, inference loss: 0.01156177841424942
After 38 global rounds, Test acc: 40.05, inference loss: 0.012591576814651489
After 39 global rounds, Test acc: 35.34, inference loss: 0.01536230628490448
After 40 global rounds, Test acc: 37.69, inference loss: 0.014506379401683808
After 41 global rounds, Test acc: 37.22, inference loss: 0.013583517754077911
After 42 global rounds, Test acc: 32.31, inference loss: 0.01572201352119446
After 43 global rounds, Test acc: 45.65, inference loss: 0.012851503098011016
After 44 global rounds, Test acc: 37.91, inference loss: 0.013947388708591461
After 45 global rounds, Test acc: 41.5, inference loss: 0.013323740208148957
After 46 global rounds, Test acc: 32.59, inference loss: 0.015659054076671602
After 47 global rounds, Test acc: 47.49, inference loss: 0.011416185367107392
After 48 global rounds, Test acc: 46.66, inference loss: 0.011594761800765992
After 49 global rounds, Test acc: 44.72, inference loss: 0.013626867842674256
After 50 global rounds, Test acc: 18.3, inference loss: 0.024088987612724305
After 51 global rounds, Test acc: 22.82, inference loss: 0.020985967242717743
After 52 global rounds, Test acc: 34.99, inference loss: 0.014886007022857667
After 53 global rounds, Test acc: 33.6, inference loss: 0.01574515482187271
After 54 global rounds, Test acc: 31.77, inference loss: 0.019294805693626405
After 55 global rounds, Test acc: 36.13, inference loss: 0.016062093460559843
After 56 global rounds, Test acc: 39.3, inference loss: 0.013187363481521606
After 57 global rounds, Test acc: 40.01, inference loss: 0.013725113487243652
After 58 global rounds, Test acc: 42.25, inference loss: 0.012935517239570617
After 59 global rounds, Test acc: 43.53, inference loss: 0.014748058545589447
After 60 global rounds, Test acc: 42.35, inference loss: 0.01326719514131546
After 61 global rounds, Test acc: 44.02, inference loss: 0.012758476233482361
After 62 global rounds, Test acc: 47.42, inference loss: 0.011366937446594238
After 63 global rounds, Test acc: 43.1, inference loss: 0.015128053712844848
After 64 global rounds, Test acc: 39.73, inference loss: 0.014642026031017304
After 65 global rounds, Test acc: 36.63, inference loss: 0.01672253099679947
After 66 global rounds, Test acc: 42.99, inference loss: 0.013663463115692139
After 67 global rounds, Test acc: 49.47, inference loss: 0.010998771488666535
After 68 global rounds, Test acc: 26.19, inference loss: 0.019804188096523286
After 69 global rounds, Test acc: 38.54, inference loss: 0.01403984237909317
After 70 global rounds, Test acc: 50.57, inference loss: 0.010742325556278229
After 71 global rounds, Test acc: 44.89, inference loss: 0.013258361768722535
After 72 global rounds, Test acc: 49.79, inference loss: 0.010997153985500335
After 73 global rounds, Test acc: 50.32, inference loss: 0.010993614447116851
After 74 global rounds, Test acc: 48.85, inference loss: 0.01157530518770218
After 75 global rounds, Test acc: 49.1, inference loss: 0.011274585795402527
After 76 global rounds, Test acc: 48.89, inference loss: 0.01144457973241806
After 77 global rounds, Test acc: 40.11, inference loss: 0.014580748677253723
After 78 global rounds, Test acc: 47.22, inference loss: 0.012251364886760712
After 79 global rounds, Test acc: 51.34, inference loss: 0.010857499957084656
After 80 global rounds, Test acc: 46.84, inference loss: 0.013393799352645874
After 81 global rounds, Test acc: 40.56, inference loss: 0.016787460601329803
After 82 global rounds, Test acc: 38.5, inference loss: 0.015174638283252715
After 83 global rounds, Test acc: 46.04, inference loss: 0.012627355229854583
After 84 global rounds, Test acc: 37.49, inference loss: 0.01867918152809143
After 85 global rounds, Test acc: 42.94, inference loss: 0.014606896209716797
After 86 global rounds, Test acc: 41.02, inference loss: 0.014894494998455047
After 87 global rounds, Test acc: 45.07, inference loss: 0.013048594844341278
After 88 global rounds, Test acc: 49.45, inference loss: 0.011318544328212738
After 89 global rounds, Test acc: 46.46, inference loss: 0.01343680704832077
After 90 global rounds, Test acc: 48.16, inference loss: 0.012045113444328308
After 91 global rounds, Test acc: 41.14, inference loss: 0.01563103289604187
After 92 global rounds, Test acc: 42.84, inference loss: 0.01442086021900177
