After 1 global rounds, Test acc: 87.18, inference loss: 0.004647300115227699
After 2 global rounds, Test acc: 93.19, inference loss: 0.0021360201999545097
After 3 global rounds, Test acc: 94.74, inference loss: 0.001439060296304524
After 4 global rounds, Test acc: 95.34, inference loss: 0.0012355971472337841
After 5 global rounds, Test acc: 95.86, inference loss: 0.0010498447184916586
After 6 global rounds, Test acc: 96.26, inference loss: 0.0009829453527461737
After 7 global rounds, Test acc: 96.41, inference loss: 0.000891023511486128
After 8 global rounds, Test acc: 96.58, inference loss: 0.0008741831346414983
After 9 global rounds, Test acc: 96.75, inference loss: 0.0008049394955276512
After 10 global rounds, Test acc: 96.82, inference loss: 0.0007942899517132901
After 11 global rounds, Test acc: 97.11, inference loss: 0.000723342822707491
After 12 global rounds, Test acc: 97.31, inference loss: 0.0006817689297371544
After 13 global rounds, Test acc: 97.46, inference loss: 0.0006444239765929524
After 14 global rounds, Test acc: 97.52, inference loss: 0.0006330768875544891
After 15 global rounds, Test acc: 97.46, inference loss: 0.0006505463356152177
After 16 global rounds, Test acc: 97.48, inference loss: 0.0006595352868578629
After 17 global rounds, Test acc: 97.57, inference loss: 0.0006261096920643467
After 18 global rounds, Test acc: 97.7, inference loss: 0.0006021323866356398
After 19 global rounds, Test acc: 97.9, inference loss: 0.0005573373766499572
After 20 global rounds, Test acc: 97.95, inference loss: 0.0005526297705378965
After 21 global rounds, Test acc: 97.91, inference loss: 0.0005515047038141347
After 22 global rounds, Test acc: 97.96, inference loss: 0.0005155472597634798
After 23 global rounds, Test acc: 97.98, inference loss: 0.0005144747418453334
After 24 global rounds, Test acc: 98.02, inference loss: 0.0005267522030804685
After 25 global rounds, Test acc: 98.2, inference loss: 0.00048039645849094086
After 26 global rounds, Test acc: 98.21, inference loss: 0.0004671947384667874
After 27 global rounds, Test acc: 98.19, inference loss: 0.0004682291325261758
After 28 global rounds, Test acc: 98.18, inference loss: 0.00047578952760086394
After 29 global rounds, Test acc: 98.37, inference loss: 0.0004496843763674406
After 30 global rounds, Test acc: 98.45, inference loss: 0.00045653939757175975
After 31 global rounds, Test acc: 98.21, inference loss: 0.00045761656608538033
After 32 global rounds, Test acc: 98.34, inference loss: 0.0004206683643476936
After 33 global rounds, Test acc: 98.42, inference loss: 0.0004386913553149498
After 34 global rounds, Test acc: 98.36, inference loss: 0.0004508011988174985
After 35 global rounds, Test acc: 98.41, inference loss: 0.00043891149090386535
After 36 global rounds, Test acc: 98.48, inference loss: 0.0004178287527780412
After 37 global rounds, Test acc: 98.47, inference loss: 0.0004317381560986178
After 38 global rounds, Test acc: 98.49, inference loss: 0.00042455184392633784
After 39 global rounds, Test acc: 98.52, inference loss: 0.0004064074711606736
After 40 global rounds, Test acc: 98.57, inference loss: 0.0004024916803206452
After 41 global rounds, Test acc: 98.56, inference loss: 0.0004123973776951061
After 42 global rounds, Test acc: 98.5, inference loss: 0.0004103557495001041
After 43 global rounds, Test acc: 98.55, inference loss: 0.0003879615925258804
After 44 global rounds, Test acc: 98.55, inference loss: 0.00040615426810645657
After 45 global rounds, Test acc: 98.54, inference loss: 0.00039378328063157823
After 46 global rounds, Test acc: 98.57, inference loss: 0.0003897933389826903
After 47 global rounds, Test acc: 98.59, inference loss: 0.00037079788119899606
After 48 global rounds, Test acc: 98.71, inference loss: 0.00037640086156056897
After 49 global rounds, Test acc: 98.56, inference loss: 0.00038902470678276585
After 50 global rounds, Test acc: 98.53, inference loss: 0.00039326903527780815
After 51 global rounds, Test acc: 98.63, inference loss: 0.00038119343247610684
After 52 global rounds, Test acc: 98.67, inference loss: 0.00036991716161010116
