After 1 global rounds, Test acc: 26.2, inference loss: 0.01680709969997406
After 2 global rounds, Test acc: 30.91, inference loss: 0.015182223892211914
After 3 global rounds, Test acc: 56.62, inference loss: 0.00978028177022934
After 4 global rounds, Test acc: 73.93, inference loss: 0.007011457806825638
After 5 global rounds, Test acc: 62.49, inference loss: 0.008142304641008378
After 6 global rounds, Test acc: 78.21, inference loss: 0.0055083945333957674
After 7 global rounds, Test acc: 72.07, inference loss: 0.006498996043205261
After 8 global rounds, Test acc: 74.16, inference loss: 0.005861410948634148
After 9 global rounds, Test acc: 90.44, inference loss: 0.002812124255299568
After 10 global rounds, Test acc: 86.39, inference loss: 0.0032092157423496246
After 11 global rounds, Test acc: 86.04, inference loss: 0.003407025434076786
After 12 global rounds, Test acc: 85.75, inference loss: 0.003245006840676069
After 13 global rounds, Test acc: 92.93, inference loss: 0.0018889971124008299
After 14 global rounds, Test acc: 91.2, inference loss: 0.002312795326113701
After 15 global rounds, Test acc: 89.51, inference loss: 0.0022689182210713626
After 16 global rounds, Test acc: 89.69, inference loss: 0.0022747094724327325
After 17 global rounds, Test acc: 93.04, inference loss: 0.001718625732883811
After 18 global rounds, Test acc: 91.54, inference loss: 0.001962756161391735
After 19 global rounds, Test acc: 94.69, inference loss: 0.0013106073196046055
After 20 global rounds, Test acc: 94.23, inference loss: 0.0013825619692914189
After 21 global rounds, Test acc: 89.83, inference loss: 0.002366031559742987
After 22 global rounds, Test acc: 91.7, inference loss: 0.001986701164767146
After 23 global rounds, Test acc: 93.1, inference loss: 0.0017209296964108944
After 24 global rounds, Test acc: 88.03, inference loss: 0.0029091723062098025
After 25 global rounds, Test acc: 88.72, inference loss: 0.0027676589481532574
After 26 global rounds, Test acc: 94.17, inference loss: 0.00151791601954028
After 27 global rounds, Test acc: 94.47, inference loss: 0.0014368714082054793
After 28 global rounds, Test acc: 95.09, inference loss: 0.0011695550254546105
After 29 global rounds, Test acc: 96.18, inference loss: 0.000977330408943817
After 30 global rounds, Test acc: 96.77, inference loss: 0.0008476565932622179
After 31 global rounds, Test acc: 96.11, inference loss: 0.0009100839678198099
After 32 global rounds, Test acc: 95.79, inference loss: 0.0010774738792330026
After 33 global rounds, Test acc: 95.0, inference loss: 0.0011856379215605558
After 34 global rounds, Test acc: 96.55, inference loss: 0.0008382918629562482
After 35 global rounds, Test acc: 92.98, inference loss: 0.0016703286884352565
After 36 global rounds, Test acc: 94.1, inference loss: 0.001329944402910769
After 37 global rounds, Test acc: 94.77, inference loss: 0.001322255792049691
After 38 global rounds, Test acc: 96.54, inference loss: 0.0008681291270069778
After 39 global rounds, Test acc: 95.61, inference loss: 0.0010162564862985163
After 40 global rounds, Test acc: 95.65, inference loss: 0.001023477173410356
After 41 global rounds, Test acc: 94.56, inference loss: 0.0014155002662912012
After 42 global rounds, Test acc: 91.11, inference loss: 0.0023804078090935944
After 43 global rounds, Test acc: 96.34, inference loss: 0.0008836054967716336
After 44 global rounds, Test acc: 97.39, inference loss: 0.000697560969274491
After 45 global rounds, Test acc: 96.7, inference loss: 0.0008677297339076176
After 46 global rounds, Test acc: 95.4, inference loss: 0.0010984544719569386
After 47 global rounds, Test acc: 95.76, inference loss: 0.00097619874230586
After 48 global rounds, Test acc: 94.8, inference loss: 0.0013441415735520423
After 49 global rounds, Test acc: 95.8, inference loss: 0.0010631242713425308
After 50 global rounds, Test acc: 96.76, inference loss: 0.0008521010157186538
After 51 global rounds, Test acc: 96.65, inference loss: 0.0008723749256692826
After 52 global rounds, Test acc: 95.64, inference loss: 0.0010439876979682595
After 53 global rounds, Test acc: 93.96, inference loss: 0.0014105364839546383
After 54 global rounds, Test acc: 97.23, inference loss: 0.0006972422683960758
After 55 global rounds, Test acc: 97.37, inference loss: 0.0007058555879862979
After 56 global rounds, Test acc: 95.95, inference loss: 0.0009173906853073276
After 57 global rounds, Test acc: 95.71, inference loss: 0.000957581748533994
After 58 global rounds, Test acc: 96.55, inference loss: 0.0008217551928362809
After 59 global rounds, Test acc: 97.13, inference loss: 0.0007217457224789541
After 60 global rounds, Test acc: 97.49, inference loss: 0.000658627779892413
After 61 global rounds, Test acc: 94.71, inference loss: 0.001481556306197308
After 62 global rounds, Test acc: 96.92, inference loss: 0.0008325872785761022
After 63 global rounds, Test acc: 96.44, inference loss: 0.0008560674049076624
After 64 global rounds, Test acc: 97.27, inference loss: 0.000682300914323423
After 65 global rounds, Test acc: 95.41, inference loss: 0.0011372657347470522
After 66 global rounds, Test acc: 95.1, inference loss: 0.0011663344427011908
After 67 global rounds, Test acc: 96.93, inference loss: 0.0007540733650908806
After 68 global rounds, Test acc: 94.79, inference loss: 0.001215331775182858
After 69 global rounds, Test acc: 97.77, inference loss: 0.0005429342221555998
After 70 global rounds, Test acc: 96.88, inference loss: 0.0007641743604443036
After 71 global rounds, Test acc: 96.82, inference loss: 0.0007596748541574926
After 72 global rounds, Test acc: 96.42, inference loss: 0.0008556764999171719
After 73 global rounds, Test acc: 96.67, inference loss: 0.0007675074982224032
After 74 global rounds, Test acc: 96.38, inference loss: 0.0008363039284711703
After 75 global rounds, Test acc: 97.42, inference loss: 0.0006252829541917891
After 76 global rounds, Test acc: 96.6, inference loss: 0.0008476088373456151
After 77 global rounds, Test acc: 97.51, inference loss: 0.000606661666627042
After 78 global rounds, Test acc: 97.05, inference loss: 0.0006928432374959812
After 79 global rounds, Test acc: 97.74, inference loss: 0.0005292844584328122
After 80 global rounds, Test acc: 97.85, inference loss: 0.0005470760759722907
After 81 global rounds, Test acc: 97.16, inference loss: 0.0006630693781189621
After 82 global rounds, Test acc: 96.54, inference loss: 0.0007698612372216303
After 83 global rounds, Test acc: 96.14, inference loss: 0.0009405564463697373
After 84 global rounds, Test acc: 97.59, inference loss: 0.0006213016789406538
After 85 global rounds, Test acc: 97.56, inference loss: 0.0006101787088642596
After 86 global rounds, Test acc: 97.25, inference loss: 0.0007029305526404641
After 87 global rounds, Test acc: 97.75, inference loss: 0.0005199710967310238
After 88 global rounds, Test acc: 97.77, inference loss: 0.0005252799368376146
After 89 global rounds, Test acc: 97.15, inference loss: 0.0006300772680202499
After 90 global rounds, Test acc: 96.73, inference loss: 0.0007519692830741405
After 91 global rounds, Test acc: 97.92, inference loss: 0.0004763592882460216
After 92 global rounds, Test acc: 96.66, inference loss: 0.0008182672093040309
After 93 global rounds, Test acc: 97.16, inference loss: 0.0006690544445533305
After 94 global rounds, Test acc: 98.12, inference loss: 0.00045873433517408556
After 95 global rounds, Test acc: 98.18, inference loss: 0.00045683439853892195
After 96 global rounds, Test acc: 97.77, inference loss: 0.0005593763869954273
After 97 global rounds, Test acc: 97.79, inference loss: 0.0005120310676531517
After 98 global rounds, Test acc: 97.78, inference loss: 0.0005354345183586702
After 99 global rounds, Test acc: 98.13, inference loss: 0.0004598367096230504
After 100 global rounds, Test acc: 97.69, inference loss: 0.0005600335619266844
